band inj_mag n_realizations n_requested_per_realization mean_valid_recovered std_valid_recovered mean_det_eff std_det_eff
F115W 30.600000000000065 20 100 38.75 3.446966629860002 0.3875 0.03446966629860002
F115W 30.700000000000067 20 100 31.75 4.387482193696061 0.31749999999999995 0.043874821936960615
F115W 30.800000000000068 20 100 30.3 4.268612494895613 0.303 0.04268612494895613
F115W 30.90000000000007 20 100 24.9 5.848076606885378 0.24899999999999997 0.05848076606885377
F115W 31.00000000000007 20 100 20.75 4.115119746291205 0.20750000000000002 0.04115119746291205
F115W 31.100000000000072 20 100 17.0 3.008759142727674 0.17 0.03008759142727674
F115W 31.200000000000074 20 100 16.7 3.4504004344271024 0.16700000000000004 0.03450400434427102
F115W 31.300000000000075 20 100 12.4 3.201973075924807 0.124 0.03201973075924806
F115W 31.400000000000077 20 100 10.4 2.5422741580594415 0.10399999999999998 0.025422741580594415
F115W 31.500000000000078 20 100 9.2 2.706716791515818 0.092 0.027067167915158178
F115W 31.60000000000008 20 100 8.15 2.2307657406087458 0.0815 0.022307657406087453
F115W 31.70000000000008 20 100 5.9 2.2219005615155596 0.05900000000000001 0.022219005615155597
F115W 31.800000000000082 20 100 5.7 2.677390717215472 0.056999999999999995 0.026773907172154717
F115W 31.900000000000084 20 100 4.2 1.823819012257983 0.04200000000000001 0.01823819012257983
F115W 32.000000000000085 20 100 4.05 1.9594574974238474 0.040499999999999994 0.019594574974238475
F150W 26.0 20 100 97.1 1.9166857359844667 0.9710000000000001 0.019166857359844653
F150W 26.1 20 100 96.45 2.7810448623342614 0.9644999999999999 0.027810448623342605
F150W 26.200000000000003 20 100 96.7 1.5927467172350904 0.967 0.015927467172350922
F150W 26.300000000000004 20 100 96.8 1.6415653633362464 0.968 0.01641565363336248
F150W 26.400000000000006 20 100 97.05 1.3945382182304158 0.9705 0.013945382182304173
F150W 26.500000000000007 20 100 96.75 1.9159991209755154 0.9674999999999999 0.01915999120975516
F150W 26.60000000000001 20 100 96.85 1.8715318802914818 0.9685 0.01871531880291482
F150W 26.70000000000001 20 100 97.0 1.8064212949190015 0.97 0.018064212949190018
F150W 26.80000000000001 20 100 96.55 1.7614288458371994 0.9655000000000001 0.017614288458371995
F150W 26.900000000000013 20 100 96.35 1.3869694338832113 0.9635 0.013869694338832112
F150W 27.000000000000014 20 100 97.2 1.908430051942668 0.9720000000000001 0.019084300519426688
F150W 27.100000000000016 20 100 96.15 2.1830688201896455 0.9614999999999998 0.021830688201896452
F150W 27.200000000000017 20 100 96.15 1.6630662866176473 0.9614999999999998 0.01663066286617648
F150W 27.30000000000002 20 100 96.05 1.2763022245616642 0.9604999999999999 0.012763022245616639
F150W 27.40000000000002 20 100 96.4 2.3708759207472134 0.9640000000000001 0.023708759207472126
F150W 27.50000000000002 20 100 96.05 2.2354794611117836 0.9604999999999999 0.022354794611117827
F150W 27.600000000000023 20 100 95.1 2.4257391711220295 0.951 0.024257391711220277
F150W 27.700000000000024 20 100 96.1 1.5525869752736796 0.9610000000000001 0.015525869752736796
F150W 27.800000000000026 20 100 95.4 2.280350850198276 0.954 0.02280350850198274
F150W 27.900000000000027 20 100 95.15 1.6944180805158293 0.9515 0.01694418080515827
F150W 28.00000000000003 20 100 94.95 1.3945382182304158 0.9494999999999999 0.013945382182304131
F150W 28.10000000000003 20 100 93.75 2.29128784747792 0.9375 0.02291287847477917
F150W 28.20000000000003 20 100 93.75 2.510504247944498 0.9375 0.025105042479444957
F150W 28.300000000000033 20 100 92.75 2.881428739175649 0.9275 0.02881428739175646
F150W 28.400000000000034 20 100 92.85 3.0996604228273306 0.9285 0.030996604228273283
F150W 28.500000000000036 20 100 91.45 2.9464519251751633 0.9145 0.029464519251751614
F150W 28.600000000000037 20 100 90.9 2.531901719220056 0.909 0.02531901719220056
F150W 28.70000000000004 20 100 90.55 2.8741131355236305 0.9055000000000002 0.028741131355236305
F150W 28.80000000000004 20 100 87.4 3.4397062298063217 0.8740000000000002 0.03439706229806322
F150W 28.90000000000004 20 100 86.7 3.096687534158157 0.867 0.030966875341581598
F150W 29.000000000000043 20 100 84.8 2.820974075889763 0.8480000000000001 0.028209740758897636
F150W 29.100000000000044 20 100 81.95 2.946451925175162 0.8195 0.029464519251751604
F150W 29.200000000000045 20 100 81.7 4.268612494895613 0.817 0.04268612494895612
F150W 29.300000000000047 20 100 80.7 4.496782475457196 0.807 0.04496782475457194
F150W 29.40000000000005 20 100 77.7 3.8402302562545167 0.777 0.03840230256254518
F150W 29.50000000000005 20 100 73.8 5.454114815536306 0.738 0.05454114815536306
F150W 29.60000000000005 20 100 71.85 3.6745927092600845 0.7185 0.03674592709260084
F150W 29.700000000000053 20 100 67.85 4.463595435355484 0.6784999999999999 0.04463595435355484
F150W 29.800000000000054 20 100 65.55 5.256324511331187 0.6555 0.05256324511331187
F150W 29.900000000000055 20 100 58.65 5.264328817117795 0.5865 0.05264328817117794
F150W 30.000000000000057 20 100 56.15 4.771350906576062 0.5614999999999999 0.04771350906576062
F150W 30.10000000000006 20 100 51.2 5.86335632282578 0.512 0.05863356322825781
F150W 30.20000000000006 20 100 47.05 3.8862104393544326 0.47050000000000003 0.038862104393544324
F150W 30.30000000000006 20 100 41.9 3.823748505273189 0.41899999999999993 0.03823748505273189
F150W 30.400000000000063 20 100 38.3 5.027293925217255 0.38299999999999995 0.05027293925217254
F150W 30.500000000000064 20 100 32.95 3.3320611607453077 0.32949999999999996 0.03332061160745308
F150W 30.600000000000065 20 100 26.85 5.132712425424326 0.2685 0.05132712425424325
F150W 30.700000000000067 20 100 25.45 4.135532804723881 0.2545 0.041355328047238814
F150W 30.800000000000068 20 100 22.1 5.3596936283218355 0.221 0.053596936283218356
F150W 30.90000000000007 20 100 19.7 4.713921152456726 0.197 0.047139211524567265
F150W 31.00000000000007 20 100 16.6 2.5422741580594415 0.166 0.025422741580594415
F150W 31.100000000000072 20 100 13.1 3.768288736283354 0.131 0.03768288736283354
F150W 31.200000000000074 20 100 11.2 2.5256578090511494 0.11200000000000002 0.0252565780905115
F150W 31.300000000000075 20 100 10.05 2.964260802504253 0.1005 0.02964260802504253
F150W 31.400000000000077 20 100 7.3 2.202868942753374 0.07300000000000002 0.02202868942753374
F150W 31.500000000000078 20 100 6.8 2.4192212753171978 0.06800000000000002 0.024192212753171977
F150W 31.60000000000008 20 100 5.6 2.186080366414065 0.056000000000000015 0.02186080366414065
F150W 31.70000000000008 20 100 5.35 1.6630662866176473 0.05350000000000001 0.016630662866176475
F150W 31.800000000000082 20 100 3.85 1.9808291724745766 0.038500000000000006 0.019808291724745766
F150W 31.900000000000084 20 100 3.75 1.3717065820970682 0.03750000000000001 0.013717065820970683
F150W 32.000000000000085 20 100 4.35 1.9808291724745768 0.043500000000000004 0.019808291724745766
F200W 26.0 20 100 93.35 2.084403234046921 0.9335000000000001 0.020844032340469176
F200W 26.1 20 100 93.6 2.8910023757932306 0.9360000000000002 0.028910023757932293
F200W 26.200000000000003 20 100 93.85 2.3902213066443956 0.9385 0.023902213066443932
F200W 26.300000000000004 20 100 93.15 2.739093203771527 0.9315 0.027390932037715247
F200W 26.400000000000006 20 100 93.3 2.556724878680371 0.933 0.02556724878680369
F200W 26.500000000000007 20 100 92.65 3.2488864489074927 0.9265000000000001 0.03248886448907491
F200W 26.60000000000001 20 100 92.95 1.932410548076104 0.9295000000000002 0.019324105480761012
F200W 26.70000000000001 20 100 92.95 2.4809802816416613 0.9295 0.024809802816416586
F200W 26.80000000000001 20 100 92.2 2.3753116139062462 0.9220000000000003 0.023753116139062447
F200W 26.900000000000013 20 100 93.35 2.3680993933621335 0.9335000000000001 0.02368099393362131
F200W 27.000000000000014 20 100 93.2 2.284962282309918 0.932 0.022849622823099148
F200W 27.100000000000016 20 100 92.5 2.481510575605533 0.9250000000000002 0.02481510575605531
F200W 27.200000000000017 20 100 92.9 1.99736668746891 0.929 0.019973666874689072
F200W 27.30000000000002 20 100 90.9 2.573140616363386 0.909 0.025731406163633848
F200W 27.40000000000002 20 100 92.95 2.4165002967536595 0.9295 0.024165002967536573
F200W 27.50000000000002 20 100 92.6 2.479388719231543 0.9260000000000002 0.02479388719231541
